1,2,3,4,5,6,7,8,9,11,38
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1,2,,,,,,,,,
,,,CLASIFICACION,,,,8,8,,38
CODIGO,CP,FA,LINEA,CATEGORIA,TP,CASA / CCIAL,PRODUCTO,PRESENTACIÓN,IVA,PRECIO
8JASV-05,AGRICLEAN,44666,BIO,JABON ,EX,AGROLOGICA,AGRICLEAN,CANECA X 20 LT,0.19,330679.2208984
8JASV-03,AGRICLEAN,44666,BIO,JABON ,EX,AGROLOGICA,AGRICLEAN,GARRAFA X 4 LT,0.19,72558.006598000007
2CCLN-01,AGRIMINS GRANULADO,44651,NV,EDAFICO,AL,COLINAGRO,AGRIMINS GRANULADO ,BULTO X 46 KG,0,154961.04555555558
1ACLN-02,AGRIMINS GRANULADO,45017,NV,EDAFICO,AL,COLINAGRO,AGRIMINS GRANULADO ,BOLSA X 1 KG,0,11376.86611764706
1ACLN-07,AGRIMINS MULTYRAIZ ,45017,BIA,BIOESTIMULANTE,AL,COLINAGRO,AGRIMINS MULTYRAIZ  SL,BIDON X 1 LT,0,103150.25279999999
1RMAG-01,AGRISPON SL,45017,BIA,REGULADOR,DT,MAGRO,AGRISPON SL ,BIDON X 1 LT,0,128711.31881999999
1DADL-01,AGROCELHONE,44874,PC,BIOCIDA,EX,KEM FARM,AGROCELHONE ,A GRANEL,0,55892.473118279566
1AAGS-19,AGROFAST,45017,BIA,BIOESTIMULANTE,AL,COLINAGRO,AGROFAST ,BIDON X 1 LT,0,59165.462908588241
1CBAY-01,AGROTIN ESPECIAL,45021,PC,COADYUVANTE,EX,BAYER,AGROTIN ESPECIAL ,BIDON X 1 LT,0.19,23934.827200000003
1CBAY-02,AGROTIN ESPECIAL,45052,PC,COADYUVANTE,EX,BAYER,AGROTIN ESPECIAL ,CANECA X 20 LT,0.19,416530.88
1CBAY-04,AGROTIN ESPECIAL,45052,PC,COADYUVANTE,EX,BAYER,AGROTIN ESPECIAL ,GALON X 5 LT,0.19,109365.52
3EALT-05,AGUILON ID 5X2 POMPON SIN BOQUILLA,45776,TN,FUMIGACION,DB,ALTERTEC,AGUILON ID 5X2 POMPON SIN BOQUILLA,UNIDAD,0.19,492825.59999999998
3EALT-04,AGUILON ID 6X2 POMPON SIN BOQUILLA,45776,TN,FUMIGACION,DB,ALTERTEC,AGUILON ID 6X2 POMPON SIN BOQUILLA,UNIDAD,0.19,633144
3EALT-03,AGUILON ID 7X4 LLAV E CLAVEL SIN BOQUILLA,45776,TN,FUMIGACION,DB,ALTERTEC,AGUILON ID 7X4 LLAV E CLAVEL SIN BOQUILLA,UNIDAD,0.19,790574.4
