Fecha,Grupo,Variedad / Serie,Tallos frescos,Tallos secos,Bloque,¿Cierre cama?,Notas,,CLAVE_LOTE (auto)
dd/mm/aaaa,seleccionar grupo,se llena con desplegable,solo frescos,los que van a seco,"ej: 4A, 3B, Inv5",escribir CIERRE,observación del día,,
2026-06-04,Boca de Dragón,Monaco Dark Pink,100,,Inv 4B,,,,Boca de Dragón|Monaco Dark Pink|Inv 4B
2026-06-04,Boca de Dragón,Opus Fresh,100,,Inv 4A,,,,Boca de Dragón|Opus Fresh|Inv 4A
2026-06-04,Zinnia,Mix,60,,Inv 4B,,,,Zinnia|Mix|Inv 4B
2026-06-04,Zinnia,Mix,80,,Inv 3B,,,,Zinnia|Mix|Inv 3B
2026-06-04,Zinnia,Mix,80,,Inv 4B,,,,Zinnia|Mix|Inv 4B
2026-06-04,Campanula,Champion Pink,90,,Inv 3B,,,,Campanula|Champion Pink|Inv 3B
2026-06-04,Campanula,Champion White,50,,Inv 3B,,,,Campanula|Champion White|Inv 3B
2026-06-04,Campanula,Champion White,50,,Inv 3B,,,,Campanula|Champion White|Inv 3B
2026-06-04,Campanula,Champion White,50,,Inv 3B,,,,Campanula|Champion White|Inv 3B
2026-06-04,Amaranto,Emerald Tails,80,,Inv 3A,,Corte por pedido especial (~25 paquetes). No refleja producción semanal normal.,,Amaranto|Emerald Tails|Inv 3A
2026-06-04,Amaranto,Emerald Tails,250,,Inv 3A,,Corte por pedido especial (~25 paquetes). No refleja producción semanal normal.,,Amaranto|Emerald Tails|Inv 3A
2026-06-04,Strawflower,Mix,100,,Inv 6,,,,Strawflower|Mix|Inv 6
2026-06-04,Boca de Dragón,Monaco Dark Pink,100,,Inv 4B,,,,Boca de Dragón|Monaco Dark Pink|Inv 4B
2026-06-04,Boca de Dragón,Potomac Crimson,119,,Inv 4B,,,,Boca de Dragón|Potomac Crimson|Inv 4B
2026-06-05,Zinnia,Mix,60,,Inv 4B,,,,Zinnia|Mix|Inv 4B
2026-06-05,Zinnia,Mix,60,,Inv 4B,,,,Zinnia|Mix|Inv 4B
2026-06-05,Campanula,Champion Pink,36,,Inv 5,,,,Campanula|Champion Pink|Inv 5
2026-06-05,Campanula,Champion White,70,,Inv 3B,,,,Campanula|Champion White|Inv 3B
2026-06-05,Amaranto,Emerald Tails,50,,Inv 3A,,,,Amaranto|Emerald Tails|Inv 3A
2026-06-05,Green Ball,Punky Ball,20,,Inv 3B,,,,Green Ball|Punky Ball|Inv 3B
2026-06-05,Statice,Forever Silver,30,,Inv 5,,,,Statice|Forever Silver|Inv 5
2026-06-07,Zinnia,Mix,120,,Inv 4B,,,,Zinnia|Mix|Inv 4B
2026-06-07,Statice,Mix,110,,Inv 4B,,,,Statice|Mix|Inv 4B
2026-06-07,Campanula,Champion White,120,,Inv 3B,,,,Campanula|Champion White|Inv 3B
2026-06-07,Campanula,Champion Pink,40,,Inv 3B,,,,Campanula|Champion Pink|Inv 3B
2026-06-07,Boca de Dragón,Opus Fresh,99,,Inv 4A,,,,Boca de Dragón|Opus Fresh|Inv 4A
2026-06-07,Boca de Dragón,Monaco Dark Pink,24,,Inv 4A,,,,Boca de Dragón|Monaco Dark Pink|Inv 4A
2026-06-07,Green Ball,Punky Ball,102,,Inv 3B,,,,Green Ball|Punky Ball|Inv 3B
2026-06-07,Girasol,Pro Cut White Lite,50,,Inv 4B,,,,Girasol|Pro Cut White Lite|Inv 4B
2026-06-08,Boca de Dragón,Monaco Dark Pink,104,,Inv 4A,,,,Boca de Dragón|Monaco Dark Pink|Inv 4A
2026-06-08,Gomphrena,Audrey White,130,,Inv 3B,,,,Gomphrena|Audrey White|Inv 3B
2026-06-08,Ammobium,Ammobium Alatum,110,,Inv 3A,,,,Ammobium|Ammobium Alatum|Inv 3A
2026-06-08,Ammi,Ammi Majus,81,,Inv 6,,,,Ammi|Ammi Majus|Inv 6
2026-06-08,Girasol,Pro Cut White Lite,72,,Inv 4B,,,,Girasol|Pro Cut White Lite|Inv 4B
2026-06-08,Strawflower,Mix,80,,Inv 6,,,,Strawflower|Mix|Inv 6
2026-06-08,Statice,Mix,98,,Inv 4B,,,,Statice|Mix|Inv 4B
2026-06-08,Zinnia,Mix,50,,Inv 4B,,,,Zinnia|Mix|Inv 4B
2026-06-08,Boca de Dragón,Monaco Orange,60,,Inv 4A,,,,Boca de Dragón|Monaco Orange|Inv 4A
2026-06-08,Boca de Dragón,Cannes Red,99,,Inv 4A,,,,Boca de Dragón|Cannes Red|Inv 4A
2026-06-08,Boca de Dragón,Monaco Dark Pink,24,,Inv 4A,,,,Boca de Dragón|Monaco Dark Pink|Inv 4A
2026-06-08,Amaranto,Velvet Curtains,12,,Inv 6,,,,Amaranto|Velvet Curtains|Inv 6
2026-06-08,Amaranto,Love Lies Bleeding,20,,Inv 3A,,,,Amaranto|Love Lies Bleeding|Inv 3A
2026-06-08,Campanula,Champion White,100,,Inv 3B,,,,Campanula|Champion White|Inv 3B
2026-06-08,Campanula,Champion Pink,16,,Inv 3B,,,,Campanula|Champion Pink|Inv 3B
2026-06-08,Boca de Dragón,Opus Fresh,24,,Inv 4A,,,,Boca de Dragón|Opus Fresh|Inv 4A
2026-06-08,,,,,,,,,||
2026-06-09,Boca de Dragón,Monaco Orange,141,,Inv 3B,,,,Boca de Dragón|Monaco Orange|Inv 3B
2026-06-09,Gomphrena,Quis Carmine,250,,Inv 3A,,,,Gomphrena|Quis Carmine|Inv 3A
2026-06-09,Zinnia,Mix,100,,Inv 4B,,,,Zinnia|Mix|Inv 4B
2026-06-09,Ammi,Ammi Majus,32,,Inv 6,,,,Ammi|Ammi Majus|Inv 6
2026-06-09,Strawflower,Mix,98,,Inv 6,,,,Strawflower|Mix|Inv 6
2026-06-09,Boca de Dragón,Opus Fresh,40,,Inv 4B,,,,Boca de Dragón|Opus Fresh|Inv 4B
2026-06-09,Boca de Dragón,Monaco Plumblossom,20,,Inv 5,,,,Boca de Dragón|Monaco Plumblossom|Inv 5
2026-06-09,Boca de Dragón,Monaco Dark Pink,30,,Inv 4A,,,,Boca de Dragón|Monaco Dark Pink|Inv 4A
2026-06-09,Campanula,Champion Pink,15,,Inv 3B,,,,Campanula|Champion Pink|Inv 3B
2026-06-09,Campanula,Champion White,60,,Inv 3B,,,,Campanula|Champion White|Inv 3B
2026-06-10,Ammobium,Ammobium Alatum,100,,Inv 6,,,,Ammobium|Ammobium Alatum|Inv 6
2026-06-10,Amaranto,Love Lies Bleeding,50,,Inv 3A,,,,Amaranto|Love Lies Bleeding|Inv 3A
2026-06-10,Gomphrena,Quis Carmine,200,,Inv 3A,,,,Gomphrena|Quis Carmine|Inv 3A
2026-06-10,Gomphrena,Quis Sequin,200,,Inv 3A,,,,Gomphrena|Quis Sequin|Inv 3A
