fecha_entrega,fecha_fuente,variedad,color,semillas,sem_entrega_semilla,sem_germinacion,sem_estimada_entrega,sem_entregada,sem_en_germinacion,entrega_1,entrega_2,entrega_3,entrega_4,plantulas_total,pct_germ_fuente,pct_germ_calc,viables_wk23,pinch_enfermas_wk23,perdida_wk23
2026-03-04,04/03/26,Celosia Cristata Verda Green,,3000,10,8,18,16,6,3134,,,,3134,104.47,104.47,,,
2026-03-24,24/03,Snapdragon Cannes Light Bronze,,6000,13,6,19,20,7,3517,1414,,,4931,82.18,82.18,,,
2026-03-24,24/03,Celosias Dreams,,2500,13,5,18,20,7,2467,,,,2467,98.68,98.68,,,
2026-03-24,24/03,Snapdragon Cannes Red Delight,,3000,13,6,19,20,7,2793,,,,2793,93.1,93.1,,,
2026-03-27,27/03/26,Amaranto Coral Fountain,,1600,13,5,18,,-13,,,,,0,0.0,0.0,,,
2026-03-27,27/03/26,Amaranto Emerald Tails,,1600,13,5,18,,-13,,,,,0,0.0,0.0,,,
2026-03-30,30/03,Gomphrena Quis Pink,,500,14,6,20,20,6,447,,,,447,89.4,89.4,,,
2026-03-30,30/03,Gomphrena Geoseeds Peach,,1000,14,6,20,20,6,730,,,,730,73.0,73.0,,,
2026-03-30,30/03,Zinnia Ballerina,,250,14,14,18,16,2,266,,,,266,106.4,106.4,,,
2026-03-30,30/03,Zinnia Aurora,,1000,14,14,18,16,2,950,,,,950,95.0,95.0,,,
2026-03-30,30/03,Zinnia Benary Giant Bright Pink,,500,14,14,18,16,2,554,,,,554,110.8,110.8,,,
2026-03-30,30/03,Zinnia Benary Giant Deep Red,,100,14,14,18,16,2,93,,,,93,93.0,93.0,,,
2026-03-30,30/03,Zinnia Benary Giant Wine,,100,14,14,18,16,2,92,,,,92,92.0,92.0,,,
2026-03-30,30/03,Zinnia Benary Giant Salmon Rose,,100,14,14,18,16,2,87,,,,87,87.0,87.0,,,
2026-03-30,30/03,Zinnia Cresto Peaches and Cream,,200,14,14,18,16,2,116,,,,116,58.0,58.0,,,
2026-03-30,30/03,Zinnia Cresto Peachy Pink,,200,14,14,18,16,2,170,,,,170,85.0,85.0,,,
2026-03-30,30/03,Zinnia Candy Mix,,500,14,14,18,16,2,331,,,,331,66.2,66.2,,,
2026-03-30,30/03,Zinnia Dahlia Flower Gold Medal Dream,,500,14,14,18,16,2,438,,,,438,87.6,87.6,,,
2026-03-30,30/03,Zinnia Cupcakes Pastel Shades,,100,14,14,18,16,2,74,,,,74,74.0,74.0,,,
2026-04-01,01/04,Celosia Shimmer,,3000,14,5,19,20,6,2654,,,,2654,88.47,88.47,,,
2026-04-01,01/04,Celosia Rose Gold,,1000,14,5,19,20,6,1231,,,,1231,123.1,123.1,,,
2026-04-01,01/04,Celosia Raspberry Lemonade,,1000,14,5,19,20,6,1200,,,,1200,120.0,120.0,,,
2026-04-01,01/04,Statice Forever Silver,,2000,14,5,19,23,9,1647,,,,1647,82.35,82.35,,,
2026-04-01,01/04,Gomphrena Quis Pink,,3000,14,6,20,,-14,1508,,,,1508,50.27,50.27,,,
2026-04-01,01/04,Gomphrena Quis Carmine,,3000,14,6,20,,-14,1662,,,,1662,55.4,55.4,,,
2026-04-01,01/04,Ammobium Wing Everlasting,,5000,16,5,21,20,4,4757,,,,4757,95.14,95.14,,,
2026-04-01,01/04,Strawflower Apricot Peach,,1000,16,5,21,20,4,994,,,,994,99.4,99.4,,,
2026-04-01,01/04,Strawflower Silvery Rose,,1000,16,5,21,20,4,800,,,,800,80.0,80.0,,,
2026-04-01,01/04,Strawflower King Size Bright Rose,,1000,16,5,21,20,4,891,,,,891,89.1,89.1,,,
2026-04-01,01/04,Strawflower King Size Purple Red,,1000,14,5,19,20,6,790,,,,790,79.0,79.0,,,
2026-04-01,01/04,Snapdragon Avignon Pink II,,50,14,5,19,24,10,43,,,,43,86.0,86.0,,,
2026-04-01,01/04,Snapdragon Bridal Pink,,50,14,5,19,24,10,44,,,,44,88.0,88.0,,,
2026-04-01,01/04,Snapdragon Avignon Silver II,,50,14,5,19,24,10,45,,,,45,90.0,90.0,,,
2026-04-01,01/04,Snapdragon Antilbes Apricot I,,50,14,5,19,24,10,39,,,,39,78.0,78.0,,,
2026-04-01,01/04,Snapdragon Avignon Light Rose,,50,14,5,19,24,10,20,,,,20,40.0,40.0,,,
2026-04-01,01/04,Snapgradon Avignon Apricot II,,50,14,5,19,24,10,26,,,,26,52.0,52.0,,,
2026-04-01,01/04,Snapdragon Double Frappe Apricot II,,50,14,5,19,24,10,57,,,,57,114.0,114.0,,,
2026-04-15,15/04,Statice Hipster Apricot,5M,2500,16,5,21,,-16,,,,,0,0.0,0.0,,,
2026-04-15,15/04,Scabiosa Triple Berry Mix,,1000,16,5,21,24,8,446,,,,446,44.6,44.6,,,
2026-04-15,15/04,Celosia Reprise Orange,,1000,16,5,21,24,8,693,,,,693,69.3,69.3,,,
2026-04-15,15/04,Dill Hedger,,2000,16,5,21,,-16,,,,,0,0.0,0.0,,,
2026-04-15,15/04,Cynoglossum Forget me Not,,2000,16,5,21,24,8,597,,,,597,29.85,29.85,,,
2026-04-15,15/04,Celosia Lavly,Lavender,3000,,5,5,,0,,,,,0,0.0,0.0,,,
2026-04-15,15/04,Celosia Act Enda Rose,Hot Pink,5000,,5,5,24,24,4264,,,,4264,85.28,85.28,,,
2026-04-15,15/04,Celosia Clubs Cocktail,Pink,2500,,5,5,24,24,1978,,,,1978,79.12,79.12,,,
2026-04-15,15/04,Celosia Act Ziva,Pink,5000,,5,5,,0,,,,,0,0.0,0.0,,,
