fecha,grupo,bloque,tallos_mix_originales,cultivar_estimado,metodo,plantas_activas,tasa_usada,fuente_tasa,pct_asignado,tallos_estimados
2026-07-05,Zinnia,4b,100,zinnia linen,partes iguales entre sembradas (sin ventana),,,sin ventana,1.0000,100.0
2026-07-06,Zinnia,4b,20,zinnia linen,partes iguales entre sembradas (sin ventana),,,sin ventana,1.0000,20.0
2026-07-07,Zinnia,4b,170,zinnia linen,partes iguales entre sembradas (sin ventana),,,sin ventana,1.0000,170.0
2026-07-09,Zinnia,4b,160,zinnia linen,partes iguales entre sembradas (sin ventana),,,sin ventana,1.0000,160.0
2026-07-10,Zinnia,4b,130,zinnia linen,partes iguales entre sembradas (sin ventana),,,sin ventana,1.0000,130.0
2026-07-16,Zinnia,4b,140,zinnia linen,partes iguales entre sembradas (sin ventana),,,sin ventana,1.0000,140.0
2026-07-17,Zinnia,4b,215,zinnia linen,partes iguales entre sembradas (sin ventana),,,sin ventana,1.0000,215.0
2026-07-19,Zinnia,4b,205,zinnia linen,partes iguales entre sembradas (sin ventana),,,sin ventana,1.0000,205.0
2026-07-23,Zinnia,4b,120,zinnia linen,partes iguales entre sembradas (sin ventana),,,sin ventana,1.0000,120.0
2026-07-26,Zinnia,4b,215,zinnia linen,partes iguales entre sembradas (sin ventana),,,sin ventana,1.0000,215.0
2026-07-27,Zinnia,4b,120,zinnia linen,partes iguales entre sembradas (sin ventana),,,sin ventana,1.0000,120.0
