semana_iso,anio,producto,grupo,bloque,plantas,tallos_estimados,calidad_dato,origen
1,2027,Dianthus Sweet Cherry,Dianthus,(por asignar),1918,SIN_DATO,sin tallos-planta en ciclos_variedad.csv,BALL entrega sem37
2,2027,Statice Hipster Apricot,Statice,3A,1000,1000,estimado: plantas x tallos-planta / semanas de ventana,CAMPO (ya sembrado)
2,2027,Ammi Majus,Ammi,(por asignar),1644,616,estimado: plantas x tallos-planta / semanas de ventana,BALL entrega sem39
2,2027,Campanula White,Campanula,(por asignar),1096,365,estimado: plantas x tallos-planta / semanas de ventana,BALL entrega sem41
2,2027,Flamingo Purple,Celosia Purple Flamingo,(por asignar),1096,SIN_DATO,sin tallos-planta en ciclos_variedad.csv,BALL entrega sem39
3,2027,Statice Hipster Apricot,Statice,3A,1000,1000,estimado: plantas x tallos-planta / semanas de ventana,CAMPO (ya sembrado)
3,2027,QIS Carmine,Gomphrena,(por asignar),1096,548,estimado: plantas x tallos-planta / semanas de ventana,BALL entrega sem42
3,2027,QIS Red,Gomphrena,(por asignar),1096,548,estimado: plantas x tallos-planta / semanas de ventana,BALL entrega sem42
3,2027,Campanula White,Campanula,(por asignar),1096,365,estimado: plantas x tallos-planta / semanas de ventana,BALL entrega sem41
3,2027,Flamingo Purple,Celosia Purple Flamingo,(por asignar),1096,SIN_DATO,sin tallos-planta en ciclos_variedad.csv,BALL entrega sem39
4,2027,Trachelium White,Trachellium,(por asignar),1900,3800,estimado: plantas x tallos-planta / semanas de ventana,BALL entrega sem41
4,2027,Statice Hipster Apricot,Statice,3A,1000,1000,estimado: plantas x tallos-planta / semanas de ventana,CAMPO (ya sembrado)
4,2027,QIS Carmine,Gomphrena,(por asignar),1096,548,estimado: plantas x tallos-planta / semanas de ventana,BALL entrega sem42
4,2027,QIS Red,Gomphrena,(por asignar),1096,548,estimado: plantas x tallos-planta / semanas de ventana,BALL entrega sem42
4,2027,Flamingo Purple,Celosia Purple Flamingo,(por asignar),1096,SIN_DATO,sin tallos-planta en ciclos_variedad.csv,BALL entrega sem39
5,2027,Trachelium White,Trachellium,(por asignar),1900,3800,estimado: plantas x tallos-planta / semanas de ventana,BALL entrega sem41
5,2027,QIS Carmine,Gomphrena,(por asignar),1096,548,estimado: plantas x tallos-planta / semanas de ventana,BALL entrega sem42
5,2027,QIS Red,Gomphrena,(por asignar),1096,548,estimado: plantas x tallos-planta / semanas de ventana,BALL entrega sem42
