bloque,informe,laboratorio,fecha_muestreo,fecha_entrega,ph,mo_pct,cice_cmolc_kg,ce_1_5_dsm,n_no3_mgkg,n_nh4_mgkg,p_mgkg,p_clave,s_mgkg,s_clave,ca_cmolc_kg,ca_clave,mg_cmolc_kg,mg_clave,k_cmolc_kg,k_clave,al_cmolc_kg,sat_ca_pct,sat_mg_pct,sat_k_pct,ratio_ca_mg,ratio_mg_k,ratio_ca_k,fe_mgkg,fe_clave,mn_mgkg,mn_clave,cu_mgkg,cu_clave,zn_mgkg,zn_clave,b_mgkg,b_clave,ca_sol_cmolc_kg,mg_sol_cmolc_kg,k_sol_cmolc_kg,p_sol_mgl,arena_pct,limo_pct,arcilla_pct,textura,sat_humedad_pct,d_aparente_gcm3,fuente
Bloque 3,38189,Natural Control,2026-07-29,2026-08-25,5.7,18.6,9.35,0.280,64.4,SIN_DATO,40.73,A,51.67,A,3.98,M,3.01,A,2.36,A,0.0,42.6,32.2,25.3,1.3,1.3,1.7,56.0,B,14.4,A,3.4,M,6.3,A,1.00,M,0.976,0.250,0.673,0.036,66,20,14,Franco arenoso,154.80,0.71,PDF informe 38189 Natural Control
Bloque 4,38190,Natural Control,2026-07-29,2026-08-25,5.6,23.4,10.70,0.260,44.4,SIN_DATO,10.74,B,26.55,M,4.05,M,3.44,A,3.22,A,0.0,37.8,32.1,30.0,1.2,1.1,1.3,63.2,B,14.0,A,3.7,M,6.9,A,1.64,M,0.422,0.286,0.523,0.107,74,12,14,Franco arenoso,141.48,0.56,PDF informe 38190 Natural Control
Bloque 5,38191,Natural Control,2026-07-29,2026-08-25,5.8,22.9,10.19,0.202,40,SIN_DATO,21.22,M,42.68,A,3.92,M,3.85,A,2.41,A,0.0,38.5,37.8,23.7,1.0,1.6,1.6,45.9,B,15.0,A,2.9,B,5.0,A,1.37,M,0.372,0.321,0.352,0.059,70,16,14,Franco arenoso,133.41,0.58,PDF informe 38191 Natural Control
Inv 3,35739,Natural Control,SIN_DATO,2025-06,5.9,19.0,SIN_DATO,0.829,SIN_DATO,SIN_DATO,97.20,A,90.84,A,11.03,A,1.75,M,5.18,A,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,42.6,B,SIN_DATO,SIN_DATO,2.7,B,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,02-analisis-de-suelo.md (Bloque 3 = Inv 3 confirmado por Vanessa 2026-09-02)
Inv 4+5,35740,Natural Control,SIN_DATO,2025-06,6.2,25.6,SIN_DATO,0.456,SIN_DATO,SIN_DATO,103.37,A,103.07,A,8.90,A,1.89,M,2.60,A,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,41.3,B,SIN_DATO,SIN_DATO,2.3,B,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,02-analisis-de-suelo.md (muestra conjunta Inv 4 + Inv 5)
