,PROVEEDOR,Variedad,Color,Cantidad recibida,Cantidad Trasplantada,Fecha siembra campo,Semana,Bloque sembrado,Inicio cosecha,Semana,Fin de cosecha,COMENTARIOS,Nombre Homologados,Tallos vendidos,Fecha Homologada,Estado,,Ventas WIX,Utilidad,Ventas por tallos calculados MG
,Tecniplantas,Lisianthus Voyage Light Pink,Salmón muy claro · blush · champagne,,,08/09,37,Mini,FEBRERO,,,,Lisianthus Pastel,,,Cerrada,,,,
,Tecniplantas,Lisianthus Celeb Turn Red,Salmón intenso · fucsia · rosado,,,08/09,37,Mini,FEBRERO,,,,Lisianthus Rosado,,,Cerrada,,,,
,Tecniplantas,Gomphrena Purple,Morado fucsia,1607,,09/09,37,3B,ENERO,3,,6,QIS Purple,,,Cerrada,,,,
,Ball,Campanulas White,Blanco puro,,,09/09,37,6,DICIEMBRE,52,,Casi nada de cosecha,Campanula White,,,Cerrada,,,,
,Ball,Trachellium,Blanco encaje,,,09/09,37,6,ENERO,,,Sem28 aún no ha florecido. Inicio cosecha pendiente de confirmar.,Trachelium White,,,Cerrada,,,,
,Ball,Green Ball,Verde musgo,,,10/09,37,3c,DICIEMBRE,50,,"Seguimos cosechando en semana 6! En Semana 10 todo esta grave, torcido, fusarium",Dianthus Green Ball,,,Cerrada,,,,
,Ball,Matricarias Vegmo Snowball,Blanco puro,1096,,11/09,37,4A,DICIEMBRE,27,,"6 | Inicio cosecha sem27, pico sem28. Buena cosecha.",Matricaria Snowball,,,Cerrada,,,,
,Tecniplantas,Gomphrenas QUIS Carmine,Hot pink,,,11/09,37,2,ENERO,50,,"Semana 6 no queda casi, semana 7 rematamos",QIS Carmine,,,Cerrada,,,,
,Ball,Dusty Miller,Plateado azulado · hoja grande,,,18/09,38,2,FEBRERO,6,,Se quedo enano,Dusty New Look,,,Cerrada,,,,
,Ball,Matricarias,Blanco con centro amarillo,,,18/09,38,5,DICIEMBRE,51,,"Las sacamos, les dio mosca blanca y no florecieron",Matricaria Vegmo,,,Cerrada,,,,
