,PROVEEDOR,Variedad,Color,Cantidad recibida,Cantidad Trasplantada,Fecha siembra campo,Semana,Bloque sembrado,Inicio cosecha,Semana,Fin de cosecha,COMENTARIOS,Nombre Homologados,Tallos vendidos,Fecha Homologada,Estado,,Ventas WIX,Utilidad,Ventas por tallos calculados MG
,Andres,Snapdragon Opus Bronze Early,Naranja atardecer,,4658,,7,5+ 1 del 4A,MADRES,17,20,"Comienzan a mostrar tallos en la 16, ya mucho cosechado esta semana, ya en semana 18 se acaba, en semana 19 habian poquitos tallos cosechados al dia, las sacamos en la 22 pero ya la semana pasada estaba de sacar",Opus Early Bronze,,,Cerrada,,,,
,Ball,Snapdragon Potomac Appleblossom,Blanco rosado pastel,,3014,,7,Gomphrenas 3B,MADRES,19,20,"Ya se empiezan a florecer las del 4a en la 16, en seman 19 habian mas tallos cosechables, ya en semana 20 quedan solo los delgados, la sacamos en la 22",Potomac Appleblossom,,,Cerrada,,,,
,Ball,Campanula Champion Pink,Rosa,,4658,,7,5?,MADRES,19,22,"Sacando dos baldes diarios aproximadamente. Fue muy poquito para madres, esta semana 22 ya esta de sacar",Campanula Pink,,,Cerrada,,,,
,Ball,Campanula Champion Lavender,Lavanda,,288,,7,5?,MADRES,19,22,Esto ya no hay nada en la 22,Campanula Lavender,,,Cerrada,,,,
,Andres,Gomphrena Quis Carmine,Hot pink,,2785,,8,CAMAS BAJAS 3A,MAYO,21,,"Empezamos cosecha en semana 19, aun no esta en su punto pero por madres sacamos lo que pudimos, super buena produccion en la 21 y 22. Ya en semana 24 vemos muchas lanzandose a semillas pero aun muchas viables, mucha produccion para lo que vendemos.",Quis Carmine,,,Activa,,,,
,Andres,Gomphrena Sequin,Rosado envejecido,,735,,8,CAMAS BAJAS 3A,MAYO,23,27,"Empezamos cosecha en semana 19, aun no esta en su punto pero por madres sacamos lo que pudimos. Super buena produccion en la 21 y 22. En semana 24 tuvimos tallos muy caidos por falta de malla y buena estructura. Todo esta e el suelo. Muchas ya yebdose a semillas. Muy bello el color. | Sem27 aún había flores pero maleza adelantada. Hubiesen aguantado 1 sem más de menor calidad.",Quis Sequin,,,Cerrada,,,,
,Ball,Ammi Majus,Blanco · verde suave,,1370,,9,6,MADRES,21,,"Comenzamos cosecha finalizando la 21, cosechando buenos tallos en semana 22 pero aun no full produccion, seguimos cosechando en sem 24, creo que ya en sem 25 cerramos",Ammi Majus,,,Activa,,,,
,Andres,Limonium Forever Happy,Malva con centro amarillo,,2545,,9,4 AB + 4 DEL 4,JUNIO,21,25,"Empezamos a cosechas un poquitin en semana 20, produccion increible en semana 21 y 22. Ya en sem 23 y 24 declive productivo. Se enfermaron mucho y odiaron el desyerbe y limpieza basal. Las voy a tener que sacar. Tuvieron 2 tallos promedio. Sacamos MUCHA flor con botrytis  Sem24: 15 semanas campo. Colapso productivo confirmado con fotos. Pudrición cuello activa en varias plantas. 2 tallos promedio/planta — BAJO. Necrosis basal severa en camas más antiguas. Estrategia sem25: cosechar todo en punto, retirar plantas en colapso en bolsa cerrada fuera del invernadero, cerrar camas gradualmente. Cantus sem25 para control Botrytis. NO sembrar lisianthus ni campanula en estas camas inmediatamente — ciclo biosupresor primero (gomphrena o matricaria).",Statice Happy,,,Cerrada,,,,
,Andres,Strawflower Apricot,Salmón · durazno,,4490,,9,6,JUNIO,24,,"Empezamos a sacar tallos en semana 19. Produccion increible (2 balde semanal) en semana 21 y 22, seguimos cosechando en sem 24, pero las bases estan necroticas, toca hacer un trabajo cultural y ver si vale la pena el rebrote.. Sem24: Producción buena sem 19-22. Estado actual: follaje necrótico inferior, laterales pequeños para seco. Labor cultural + bomba Naturamin+Ascofol+Engruese para segunda brotación. Cosecha solo mediodía con flor abierta.",Strawflower Apricot,,,Activa,,,,
,Andres,Strawflower Cranberry Rose,Fucsia avinado,,2759,,9,6,JUNIO,24,,"Empezamos a sacar tallos en semana 19,pero no suficiente cantidad para sostener produccion Sem24: Mismo estado que Apricot. Producción sem 19 insuficiente. Labor cultural esta semana.",Strawflower Cranberry Rose,,,Activa,,,,
,Andres,Amaranto Coral Fountain,Coral suave,,600,,9,3B,MADRES,18,19,"En la 16 sacamos tallitos para fotos, pelamos todo en semana 19",Coral Fountain,,,Cerrada,,,,
,Ball Colombia,Green Ball,Verde musgo,,800,,9,4A,JUNIO,24,,"Comenzando cosecha en semana 19 y 20. Esta semana tallos mas bien delgados no tan cheveres, | 21 sem campo. Cosecha arrancó sem19-20. Tallos delgados esta semana — fin de ventana de calidad. SIN pinch registrado.",Dianthus Green Ball,,,Activa,,,,
,Ball Colombia,Snapdragon Opus Fresh,Blanco puro,,1440,,9,3B,ABRIL-MAYO,19,22,"Empiezan a sacar tallos finalizando la 19, y comenzando la 20,tallos mas gruesos que la appleblossom, seguimoscosechando en la 21 y ultimos en la 22, sacamos la cama en sem 24",Opus Fresh,,,Cerrada,,,,
,Andres,Lisianthus Megalo Orange Deep,Salmón intenso · fucsia · rosado,,2000,,10,Mini 3C Y 3B,AGOSTO,33,,"En semana 20 segunda labor de desyerbe, mucha mortalidad en campo por fusarium, ya emezando a pasar algunas a diferenciacion",Lisianthus Rosado,,,Activa,,,,
,Andres,Lisianthus Jolly 3 Pink,Salmón intenso · fucsia · rosado,,849,,10,Mini 3C Y 3B,AGOSTO,31,,"En semana 20 segunda labor de desyerbe, mucha mortalidad en campo por fusarium, ya emezando a pasar algunas a diferenciacion",Lisianthus Rosado,,,Activa,,,,
,Andres,Lisianthus Megalo 3 Pink Rim,Salmón muy claro · blush · champagne,,1045,,10,Mini 3C Y 3B,AGOSTO,31,,"En semana 20 segunda labor de desyerbe, mucha mortalidad en campo por fusarium, ya emezando a pasar algunas a diferenciacion",Lisianthus Pastel,,,Activa,,,,
,Andres,Lisianthus Megalo 3 Pink Pop,Salmón intenso · fucsia · rosado,,,,10,Mini 3C Y 3B,AGOSTO,31,,"En semana 20 segunda labor de desyerbe, mucha mortalidad en campo por fusarium, ya emezando a pasar algunas a diferenciacion",Lisianthus Rosado,,,Activa,,,,
,Andres,Lisianthus Celeb 2 Madonna,Blanco puro,,200,,10,Mini 3C Y 3B,AGOSTO,27,30,"En semana 20 segunda labor de desyerbe, mucha mortalidad en campo por fusarium, ya emezando a pasar algunas a diferenciacion",Lisianthus Blanco,,,Activa,,,,
,Andres,Lisianthus Celeb 2 Apricot,Salmón intenso · fucsia · rosado,,1600,,10,Mini 3C Y 3B,AGOSTO,28,32,"En semana 20 segunda labor de desyerbe, mucha mortalidad en campo por fusarium, ya emezando a pasar algunas a diferenciacion",Lisianthus Rosado,,,Activa,,,,
,Andres,Lisianthus Corelli I Yellow,Amarillo pastel · amarillo intenso,,1000,,10,Mini 3C Y 3B,AGOSTO,27,31,"En semana 20 segunda labor de desyerbe, mucha mortalidad en campo por fusarium, ya emezando a pasar algunas a diferenciacion",Lisianthus Amarillo,,,Activa,,,,
,Andres,Lisianthus Megalo I Yellow,Amarillo pastel · amarillo intenso,,446,,10,Mini 3C Y 3B,AGOSTO,27,31,"En semana 20 segunda labor de desyerbe, mucha mortalidad en campo por fusarium, ya emezando a pasar algunas a diferenciacion, primera en florecer. Esta variedad le fue bien, elongo, y hoy cosechamos unos 10 tallos, Buena resiliencia.",Lisianthus Amarillo,,,Activa,,,,
,Andres,Lisianthus Celeb 2 Crystal,Blanco puro,,1200,,10,Mini 3C Y 3B,AGOSTO,27,31,"En semana 33 ya no queda nada yellow ni white, ni apricot",Lisianthus Blanco,,,Activa,,,,
,Andres,Lisianthus Celeb 2 White Improved,Blanco puro,,400,,10,Mini 3C Y 3B,AGOSTO,27,31,"En semana 20 segunda labor de desyerbe, mucha mortalidad en campo por fusarium, ya emezando a pasar algunas a diferenciacion",Lisianthus Blanco,,,Activa,,,,
,Andres,Lisianthus Celeb 2 Lovely Pink,Salmón intenso · fucsia · rosado,,1000,,10,Mini 3C Y 3B,AGOSTO,31,,"En semana 20 segunda labor de desyerbe, mucha mortalidad en campo por fusarium, ya emezando a pasar algunas a diferenciacion",Lisianthus Rosado,,,Activa,,,,
,Ball Colombia,Matricaria Vegmo Single,Blanco con centro amarillo,,2016,,10,3C,MAYO,22,,"Mosca blanca, semana 20 aun desarrollo vegetativo, cosechamos primerostallos en 24, pero no tan buena mucha perdida | Sacrificada por mosca blanca. Fin cosecha anticipado.",Matricaria Vegmo,,,Cerrada,,,,
,Andres,Echinops,,,200,,11,2,JUNIO,26,,PERENNE. No florece el primer año — solo desarrollo vegetativo. Florecerá en 2027. Dejar en Inv2.,Echinops,,,Activa,,,,
,Andres,Lisianthus Beige Neo,Salmón muy claro · blush · champagne,,1660,,11,3B,AGOSTO,28,31,"Estan unos en muy mal estado, pero se ven las primeras flores en sem 25",Lisianthus Pastel,,,Activa,,,,
,Andres,Larkspur Misty Lavender y Light Blue,,,4788,,11,3A,MAYO,23,24,"Ya cosechando en semana 20, medio balde diario. Cosecha extraordinaria en semana 21 y 22, sacando un balde diario, sacamos las plantas en sem 24 para secar,las ventas no fueron tan buenas, se despetalanam en el crruti'",Larkspur Lavender,,,Cerrada,,,,
,Ball,Snapdragon Potomac Early Orange,Naranja sunset,,1728,,11,4B,JUNIO,23,,"Salieron muy mal con espacios entre las flores, algo paso aqui, cosecha casi perdida",Monaco Orange,,,Cerrada,,,,
,Andres,Amarantos Velvet Curtains,Vino tinto,,800,,11,6,JUNIO,26,,"Sacamos los mejores tallos en semana 21 y semana 22 quedan los mas delgados, esta semana sacamos la cama",Velvet Curtains,,,Cerrada,,,,
,Ball Colombia,Trachellium White Lake,Blanco encaje,,,,11,5,JUN-JUL,,,Sem24: Galinsoga masiva invadiendo cama. Desyerbe en ejecución. Bomba foliar correctiva post-desyerbe: Naturamin + Ascofol + Equifun. Drench Inv 5 completo sábado. | Sem28 aún no ha florecido. Inicio cosecha pendiente de confirmar.,Trachelium White,,,Activa,,,,
,Ball Colombia,Ammi Visnaga,Blanco · verde suave,,1728,,11,6,JUNIO,23,25,Ya cosechando desdela 24,Ammi Majus,,,Activa,,,,
,Ball Colombia,Campanulas Champion 2 White,Blanco puro,,1096,,12,3C,MAYO,24,,"Estamos cosechando desde semana 21, un balde diario, ya la voy a sacr en semana 22, quedan muy pocos tallos",Campanula White,,,Cerrada,,,,
,Ball Colombia,Matricaria Snowball,Blanco puro,,2016,,12,3B,JUNIO,27,28,"Inicio cosecha sem27, pico sem28. Buena cosecha. | Pico sem28. Cama alta sacada sem30 por menor producción.",Matricaria Snowball,,,Activa,,,,
,Ball Colombia,Snapdragon Potomac Royal,Morado fucsia,,1152,,12,4A,JUNIO,24,24,"Cosechando desde semana 21. excelente cosecha en semana 22, EXCELENTES TALLOS, color morado fucsia",Potomac Royal,,,Cerrada,,,,
,Ball Colombia,Snapdragon Potomac Early Yellow,Amarillo lima,,288,,12,4A,JUNIO,23,24,"Mas atrasada que las demas variedades, pero los tallosson buenos",Cannes Lemon,,,Cerrada,,,,
,Ball Colombia,Snapdragon Potomac Crimson,Rojo con toque morado,,864,,12,4A,JUNIO,24,24,"Ya comenzo a producir finalizando la 22, mas roja, muy bonita",Potomac Crimson,,,Cerrada,,,,
,Ball Colombia,Snapdragon Opus Fresh,Blanco puro,,864,,12,4A,JUNIO,24,24,"Cosechando desde semana 21. excelente cosecha en semana 22, EXCELENTES TALLOS",Opus Fresh,,,Cerrada,,,,
,Ball Colombia,Trachellium Purple,Morado intenso,4,776,,12,5,JULIO,,,Sem28 aún no ha florecido. Inicio cosecha pendiente de confirmar.,Trachelium Purple,,,Activa,,,,
,Ball Colombia,Girasol Pro Cut White Lite,Blanco cremoso · centro dorado,,800,,13,4A,JUNIO,25,24,"Semana 22 comienza cosecha, hoy sacamos para 6 paqietes de 5 tallos. Muchas perdidas por spodoptera comiendose los petalos,ultimos tallos cabezas mas pequenas, paquetes de 6, sacamos la cama en la sem 24 ya pelada",Girasol White Lite,,,Cerrada,,,,
,Andres,Lisianthus,Blanco puro,14 bandejas,2800,,13,3B,SEPTIEMBRE,36,,,Lisianthus Blanco,,,Activa,,,,
,Ball Colombia,Campanula Champion White,Blanco puro,4,1096,,13,3C,JUNIO,25,25,"Ya ultimos tallos en sem 24 pero ha sido una buena cosecha, constante para los carritos, no hemos vendido al mayor estos dias",Campanula White,,,Activa,,,,
,Andres,Statice Forever Happy,Malva con centro amarillo,,2708,,13,3A+3B+4A,JULIO,27,,"Sem24: Inv 3B — 11 semanas campo. Roseta verde todavía funcional — no ha entrado en colapso. Patrón DCB documentado: roseta verde sem 1-10, colapso sem 15+. Ventana crítica activa. Protocolo preventivo activado sem25: Glukoplant Ca-BZn cada 10 días + Botrycid preventivo + Fórmula C al inicio cosecha + NO quitar follaje basal sin lesión activa. Primera cama ensayo controlado de extensión de vida productiva. | Inicio cosecha sem27. Muy buena cosecha desde sem27.",Statice Happy,,,Activa,,,,
,Andres,Ammobium Alatum,Blanco · centro amarillo,23 bandejas,4600,,13,3A,JULIO,26,27,"En semana 20 empiezan a desarrollar tallos, ya comenzamos a cosechar en la 22 el primer balde. En exterior tallos hermosos, muchas devoluciones y perdidas en carritos. Pudricion de parte baja de tallos. Probando metodos de solucion y maquillaje. Demasiada cantidad de flor para la que piden. Ya seamos varios baldes a la semana. | Fin cosecha sem27. Flores de menor calidad, algunas en el piso. Hubiesen aguantado 1 sem más.",Ammobium Alatum,,,Cerrada,,,,
,Ball Colombia,Snapdragon Monaco Dark Pink,Fucsia suave,,1644,,14,5,JUNIO,24,24,"Comienza a florecer en semana 22, en 8 semanas!!! Tallos extraordinarios con cabezas gruesas! florecieron muy uniformes. No tengo a quien venderselo. Entre los hot pink ha sido mi favoritoSem24: Tallos extraordinarios con cabezas gruesas. Contrasta con Plumblossom misma semana — diferencia es operativa no varietal.",Monaco Dark Pink,,,Cerrada,,,,
,Ball Colombia,Snapdragon Monaco Plumblossom,Blanco con ciruela,,1918,,14,5,JUNIO,24,28,"Sem24: PÉRDIDA >50%. Desyerbe tardío + malla tarde = tallos torcidos irrecuperables. Color bonito blanco+vino. REGLA: malla y desyerbe antes sem 4 post-trasplante.Esta cama no se desyerbo a tiempo ni se acomodo la malla a tiempo. Vienen tallos delgados y torcidos. Veo que va a ser una mala cosecha. El color es muy bonito es blanco pero con el toque vino en las flores, en la 25 aun tallos en cama | Sigue cosechando sem27-28. Cama no sacada. Va aperturando en fases a diferencia de Monaco Naranja.",Monaco Plumblossom,,,Activa,,,,
,Ball Colombia,Snapdragon Monaco Red,Vino tinto,,822,,14,4A,JUNIO,24,25,,Monaco Red,,,Cerrada,,,,
,Ball Colombia,Snapdragon Potomac Crimson,Rojo con toque morado,,1644,,14,4A,JUNIO,26,25,"Esta variedad es bonita, es un vino y da buenos tallos, la espiga es menos grande que la Opus.",Potomac Crimson,,,Cerrada,,,,
,Andres,Zinnia Linen,Blush · beige · rosa pálido,,324,,14,4B,JULIO,22,,"Sem24: Similar Ballerina. Flores grandes beige con toques verdes. Sin pinch. Paleta ideal bodas.Comienzan a sacar tallos en semana 19 y 20, cosechando en semana 22 ",Zinnia Linen,,,Activa,,,,
,Andres,Zinnias Floret ,Amarillo dorado suave,,393,,14,4B,JULIO,22,,Comienzan a sacar tallos en semana 19 y 20,Zinnia Golden Hour,,,Activa,,,,
,Ball Colombia,Green ball punky ball,Verde musgo,,945,,14,4A,JULIO/AGOSTO,27,33,Toca desyerbar por segunda vez. Esta si recibio pinch hace 2 semanas. | Pinch realizado sem17-18. 16 sem campo. Cosechando.,Dianthus Green Ball,,,Activa,,,,
,Ball Colombia,Girasol Pro Cut White Lite,Blanco cremoso · centro dorado,,950,,14,4B,JUNIO,24,25,"Cabezas ya formadas, Empezamos cosecha en semana 24 y 25 ya terminara. Interesante como se puede hacer para tener mas uniformidad de cabezas. Las ultimas terminan siendo pequenas. Mejorar en ser preventivo con las plagas. Y esta me gusta mas que la negra porque los centros se secan amarillos hermosos.",Girasol White Lite,,,Cerrada,,,,
,Ball Colombia,Snapdragon Monaco Orange,Naranja sunset,,1644,,15,4A,JUNIO,26,24,"ESPECTACULAR. Amo esta variedad, es un naranja con toques rosados bellisimo, muy concentrada la cosecha en una semana, tallos grandes espigas florales increibles. Es DEMASIADO importante la doble malla para no perder tallos arqueados! | Pico cosecha sem27. Cama sacada sem28. Ideal hubiese sido sacarla en sem27. Sale toda al tiempo a diferencia de Plumblossom.",Monaco Orange,,,Cerrada,,,,
,Ball Colombia,Ammi Majus+ Ammobium,Blanco · verde suave,,1644,,15,4EXT,JULIO,30,32,"Fin cosecha sem27. Flores de menor calidad, algunas en el piso. Hubiesen aguantado 1 sem más. | Cosecha desde sem29. Tallos torcidos/arqueados — malla no subida a tiempo. REGLA: malla exterior antes sem4 post-trasplante.",Ammi Majus,,,Cerrada,,,,
,Andres,Amaranto Emerald Tails,Verde lima,,1219,,15,3A,JUNIO,28,24,"Comenzamos primera cosecha en semana 22, ya finalizando semana 22 quedan los peores tallos, seha cosechado casi todo esta semana para venta Sem24: Prácticamente pelada. Cosecha casi completa esta semana. | Sem28 algunos maduros. Empezando a sacar paquetes. Ideal hubiese sido sem27.",Green Tails,,,Cerrada,,,,
,Andres,Gomphrenas Raspberry Cream,Lila salmonado,,1600,,15,5,JULIO,30,35,"Comenzamos primera cosecha en semana 22, ya finalizando semana 22 quedan los peores tallos, seha cosechado casi todo esta semana para venta. Sem24: 9 semanas. Bolitas rosadas en formación, NO lista. Plantas sanas. Cosecha proyectada julio sem 29-30. Semana 30, 31, 32 excelentes cosechas, ya tienen los tallos mas maduros. En semana 33 estamos sacando lo ultimo que queda, hay mayor perdida porque la cama esta enmalezada y al sacar muchos laterales se afectan. Pero estan hermosos",Raspberry Cream,,,Activa,,,,
,Andres,Dusty Miller,Plateado azulado · hoja grande,,1000,,15,5,AGOSTO,29,,"Sem24 TRIAL: Ball Colombia (plateado) vs Andrés (más verde, inferior calidad origen). Sin foliar permitido. Laterales no evaluables aún. Decisión sem 35. | 15 sem campo. Primeros tallos de prueba para ensayo florero sem30. Ventana óptima sem35-40. Trial Ball Colombia vs Andrés + densidad zigzag vs 1/hueco.En semana 32 y 33 cosechando tallos espectaculares, y sacando finalmente ediciones especiales con ellos.",Dusty New Look,,,Activa,,,,
,Ball Colombia,Dusty Miller,Plateado azulado · hoja grande,,976,,15,5,SEPTIEMBRE,29,,"Sem24 TRIAL: Ball Colombia (plateado) vs Andrés (más verde, inferior calidad origen). Sin foliar permitido. Laterales no evaluables aún. Decisión sem 35.",Dusty New Look,,,Activa,,,,
,Ball Colombia,Matricaria Snowball,Blanco puro,,822 + 822,,15,3B,JULIO,27,30,"Inicio cosecha sem27, pico sem28. Buena cosecha. | Cama baja. Últimos tallos sem30. Cierre sem30.",Matricaria Snowball,,,Activa,,,,
,Ball Colombia,Snapdragon Opus Fresh,Blanco puro,,548,,15,4A,JULIO,25,25,"Poquita cantidad de blanco, es lo minimo semanal para condolencias etc",Opus Fresh,,,Cerrada,,,,
,Andres,Dusty Miller,Plateado azulado · hoja grande,,,,15,5,SEPTIEMBRE,35,,"Sem24 TRIAL: Ball Colombia (plateado) vs Andrés (más verde, inferior calidad origen). Sin foliar permitido. Laterales no evaluables aún. Decisión sem 35.",Dusty New Look,,,Activa,,,,
,Andres,Limonium Pink Pokers,Malva con centro amarillo,,2670,,15,2,AGOSTO,28,,"Todas las plantas del 2 se perdieron. Aqui en el 3C hay media cama produciendo primeros tallos. En semana 28 sacamos la primera cosecha de verdad buena, tallos largos. Sin embargo aun tenemos problemitas de vida en florero en los puntos. | Media cama 3C. Pico cosecha sem28-29. 2 semanas cosechando. Tallos más largos que anteriores. Marchitamiento en florero activo. ENSAYO: mezcla con Statice funciona bien en venta. Próxima siembra en 3A obligatorio.",Ruso,,,Activa,,,,
,Andres,Lisianthus,Blanco puro,,1042,,15,3B,SEPTIEMBRE,38,,"Mucha afectacion por oidio. Ya hemos hecho 3 desyerbes, toca hacer uno nuevo en el 3c. Muchos trabajos culturales en enfermedad.",Lisianthus Blanco,,,Activa,,,,
,Andres,Statice Hipster White,Blanco,,2952,,15,4B+4C,AGOSTO,27,,"Sem24: Roseta espectacular, flores blancas iniciando. ALERTA: activar Botrytis sem 26-27. Glukoplant cada 10 días cosecha. No quitar follaje viejo sin lesión activa. Cambiar Fórmula C al inicio cosecha. | Inicio cosecha sem27. 3 semanas cosechando. Tallos significativamente mejores que Forever Happy. Labor cultural sem29-30: retiro hojas negras/secas, sin tocar tejido medio necrosado. ENSAYO maduración mínima intervención + bombas activas. Sigue produciendo para fresco y secos. En semana 33 estamos cosechando aun, pero ya muchos tallos estan marrones por botrytis. Ya en declive.",Statice White,,,Activa,,,,
,Andres,Bunny Tails,,,1170,,15,2,AGOSTO,30,,"Sem28 desarrollando tallos y plumitas. Tienen semilla. | Cosecha desde sem29. Plumas extraordinariamente largas en Inv2 vs exterior. OPORTUNIDAD: escalar en múltiples camas Inv2. Pendiente contar tallos/planta, para calcular volumen mínimo rentable. Conte promedio 10 tallos planta. En semana 31 y 32 pico productivo, ya en semana 33 se comienzan a ponr marrones",Bunny Tails,,,Activa,,,,
,Ball Colombia,Campanula Champion Lavender,Lavanda,,1918,,16,3B,JULIO,25,27,"Ya estan formando flor en semana 22, se ven cortas, primeros tallos en la 25 pero muy poca produccion",Campanula Lavender,,,Activa,,,,
,Andres,Scabiosa Estrella,,,870,,16,2,AGOSTO,33,,"Sem 25 ya elongando tallo | 14 sem campo. Primera flor formándose sem30. Malla estaba baja — subir urgente. Sin pinch (no se pensó). Punto de cosecha: cabezas verde claro con bordes bronce, centros en estrella apenas negros. En semana 33 empezamos a cosechar las puntas, no estamos sacrificando laterales, no hicimos pinch. Cabezas espectaculares y grandes",Scabiosa Estrella,,,Activa,,,,
,Ball Colombia,Campanula Champion White,Blanco puro,,1370,,16,3B,JULIO,25,28,Primeros tallos,Campanula White,,,Activa,,,,
,Andres,Craspedia,,,338,,16,2,AGOSTO,31,,14 sem campo. Primeras flores maduras sem30 — 3 sem antes de proyección. ~3 maduras/m² + ~6 en proceso. Ciclo real 14 sem. Producción muy baja — uso exclusivo secos. Seguimos en cosecha nos ayudan a vender secos amarillos,Craspedia,,,Activa,,,,
,Andres,Amaranto Love Lies Bleeding,Vino tinto,,1067,,16,3A,JULIO,24,25,"Ya con espigas formadas falta maduracion en sem 22, comenzando cosecha en 24 ya en 25 quedan las ultimas",Love Lies Bleeding,,,Activa,,,,
,Andres,Celosia Cristata Verda Green,Verde limón,,3134,,17,3A+4B,JULIO,25,30,"En sem 22 ya tienen crestas. Me preocupa si es una induccion, pero estan mas largas que cuandos e nos han induido. Empezamos cosecha en semana 25, todavia hay mucha desuniformidad entre tallos, hay unas cabezas con abanicos grandes y otras muy pequenas. Creo que con mas agua nos puede ir mejor, pero si elongaron mucho! | Sem27-28 cosechando pero con síntomas de botritis. Aún hay cabezas engordando en campo. No se han sacado. | Pico cosecha sem28-29. Sacrificada sem30 por espacio. Algunas cabezas sin engordar y algunas plumosas al cierre.",Cristata Verda Green,,,Activa,,,,
,Ball Colombia,Trachellium White Lake,Blanco encaje,,1900,,17,MINI,AGOSTO,32,,"Sem28 aún no ha florecido. Inicio cosecha pendiente de confirmar. | Falla bombillo fotoperiodo 10 días sem27. Retraso ~2 sem. Cosecha estimada sem32. REGLA: revisar bombillo semanal desde sem6. Falla >3 días = sumar días perdidos a proyección. En semana 31 y 32 tuvimos una buena cosecha, ya en semana 33 casi nada",Trachelium White,,,Activa,,,,
,Andres,Celosia Spun Sugar,Rosados y corales suaves,,1200,,17,3B,AGOSTO,28,32,"Ya tienen plumas, estando pequenas | Sem27 tallos cortos. Sem28 más largos. Algunos centros muy maduros cortados cortos con laterales inmaduros. | Sem17 → 13 sem campo. Cosechando desde sem28. Punto óptimo longitud sem13. Ya en semana 32 se estan yendo a semilla, sacamos la cama porque ya quedaba lo mas malito para secar.",Floret Rosados Corales,,,Activa,,,,
,Andres,Celosia Summer Sherbet,Rosados y corales suaves,,1200,,17,3A,AGOSTO,28,32,"Ya tienen plumas, estando pequenas | Sem27 tallos cortos. Sem28 más largos. Algunos centros muy maduros cortados cortos con laterales inmaduros. | Sem17 → 13 sem campo. Cosechando desde sem28. Punto óptimo longitud sem13.",Floret Rosados Corales,,,Activa,,,,
,Andres,Celosia Shimmer,Amarillo · salmón · rosa,,3200,,17,"3B, MINI",AGOSTO,28,,"Ya tienen plumas, estando pequenas | Sem27 tallos cortos. Sem28 más largos. Algunos centros muy maduros cortados cortos con laterales inmaduros. | Sem17 → 13 sem campo. Cosechando desde sem28. Punto óptimo longitud sem13. En semana 30 y 31 pico productivo, ya en semana 32 empiezan a pasarse igual que en semana 33",Shimmer Mix,,,Activa,,,,
,Ball Colombia,Snapdragon Monaco Orange,Naranja sunset,,1728,,17,4A,JULIO,26,28,Pico cosecha sem27. Cama sacada sem28. Ideal hubiese sido sacarla en sem27. Sale toda al tiempo a diferencia de Plumblossom. | Pico cosecha sem27. Cama sacada sem28. Ideal sem27.,Monaco Orange,,,Activa,,,,
,Andres,Lisianthus mas,Blanco puro,,286,,17,3B,SEPTIEMBRE,40,,,Lisianthus Blanco,,,Activa,,,,
,Andres,Zinnia Benary Giant bright Pink,Rosa · fucsia candy,,,,17,4B,AGOSTO,24,,"Ya en sem 22 empiezan a mostrar su primera flor. Hay que hacer pinch?. Sem24: Flores grandes, sin pinch. Tallos inmaduros no pasan wiggle test — esperar lignificación. Causa: tallo sin lignificar no centro abierto. | Sem28 muchísima producción. Más de lo que se puede vender.",Zinnia Bright Pink,,,Activa,,,,
,Andres,Snapdragon Cannes Red,Rojo carmesí,,2582,,18,3C,JULIO,25,27,"Estan floreciendo antes de tiempo por estres, Tallos delgados y espigas separadas. Rojo bonito pero no es el que estoy buscando. Es mas rojo navidad, no tanto rojo carmesi. | Fin cosecha sem27. Casi toda la cama sacada por demasiada deformidad en la flor.",Cannes Red Delight,,,Cerrada,,,,
,Andres,Snapdragon Cannes Pink,Rosa,,2540,,18,4C,JULIO,25,29,Sem24: Floración anticipada sem 24. Tallos DELGADOS — cama post-lisianthus depletó calcio. Gapping en flores. Próximo ciclo: yeso agrícola 200-300g/m² + Glukoplant sem 5-8 obligatorio. | Buena cosecha hasta sem27. Sem28 menor calidad. Comparte cama con Lavender. | Floreció antes de tiempo. Tallos delgados. Sacrificada sem29. Statice Hipster Apricot sembrado encima sem29.,Cannes Pink,,,Activa,,,,
,Andres,Snapdragon Cannes Lavender,Lavanda claro,,3186,,18,4C,JULIO,28,30,"Sem24: Espigas en formación, algo más atrás que Pink. Misma cama post-lisianthus. Monitorear si adelanta ciclo vs julio. | Sem28 cosechando buenas flores y sacando paquetes. | Compartía cama con Cannes Pink. Sacrificada sem30.",Cannes Lavender,,,Activa,,,,
,Andres,"Zinnia Aurora, Bailarina, Benary",Amarillo tostado · naranja · coral,,,,18,4B,JULIO,23,,"Sem24: Plantas compactas con mulch, flores naranjas/rojas recién abriendo. Comportamiento esperado sem 18. | Sem28 muchísima producción. Más de lo que se puede vender. | Sem28 muchísima producción.",Zinnia Aurora,,,Activa,,,,
,Andres,Celosias Dreams,Mix pastel · verde · coral · salmón,,2600,,18,2,AGOSTO,28,32,Ya muestran plumas. Induccion floral? | Sem28 flores maduras. Arranca cosecha. | Sem18 → 13 sem campo. Inducción floral en bandeja. Tallos más cortos pero comercializables. Cosecha sem28-31. Todas llegaron igual a largos aprovechables! ,Dreams Mix,,,Activa,,,,
,Ball Colombia,Ammi Majus,Blanco · verde suave,,1644,,18,5,AGOSTO,31,33,"Sem24: 6 semanas, follaje plumoso denso. Maleza en borde izquierdo — king grass desde humedal. Cosecha agosto. En semana 31 y 32 pico productivo, en semana 33 poquitos tallos pero MUY largos y cabezas muy grandes",Ammi Majus,,,Activa,,,,
